DOP,RV2T,EsSismo
0.8383177384961549,0.9366841233805864,1
0.13480166714001862,0.39463419272294803,0
0.6018128799182328,0.8257225038005491,1
0.0601841729011484,0.3362483660079833,0
0.4134386332531102,0.7177308348834026,1
0.09901550220918295,0.15490797660565706,0
0.18691428512121558,0.5560770474823117,1
0.1949022074179657,0.11522921230380896,0
0.17882040890351444,0.6044220111590812,1
0.45267000209327535,0.10696464293209193,0
0.774608155741874,0.9041372219165178,1
0.16865722272521622,0.17474818890554292,0
0.35196474527424976,0.7039332883462422,1
0.16743560936864801,0.09835154334066919,0
0.5577566784128903,0.8041920487379349,1
0.2571927654802147,0.13728322874387136,0
0.58084393657868,0.8304550831557972,1
0.2961603283618298,0.638952115890446,0
0.4262483081748416,0.7507449999409386,1
0.05176507544219238,0.2787490914685282,0
0.44600978746706316,0.762162800217619,1
0.015143969140279033,0.28597144491514936,0
0.38683072964760756,0.7256661981489838,1
0.23222752895089957,0.35759915104056483,0
0.3165385657814216,0.6737405570842804,1
0.1492398896001254,0.11607809473292327,0
0.49797745968516705,0.7791491290078592,1
0.12156113391976762,0.27402634700067713,0
0.14867595180533805,0.5498549110899557,1
0.08451307331653397,0.37826903718663624,0
0.502014012336437,0.7994665180525861,1
0.31636869739803203,0.4866824630529722,0
0.5664845967770218,0.8025698418841393,1
0.13707917762847444,0.2862167327424889,0
0.14000627928748502,0.557609478066787,1
0.20869418410557097,0.16036366404971344,0
0.5242601105069368,0.8040358151164159,1
0.15193737719083372,0.23128482729144398,0
0.7540562718425551,0.9078307260666453,1
0.3672291572436301,0.18418275342176774,0
0.6962334239796012,0.8802928654232822,1
0.10359852555792856,0.27418393123894574,0
0.382826003688937,0.7195278910943099,1
0.10052730394687055,0.2618603331597696,0
0.2035260257092616,0.6164956179080735,1
0.027521879485880554,0.2517394370244351,0
0.5922797501425129,0.814104312800764,1
0.08745750285631064,0.479178596718377,0
0.24427569072461514,0.4488398333007034,1
0.31035370238542415,0.21322425489487243,0
0.6875005837456042,0.8644817033358192,1
0.14602636562586552,0.4978810536057003,0
0.132943060855408,0.4924619023338419,1
0.0672237677159406,0.2740596762293371,0
0.49175086501536797,0.1301092457221677,1
0.20857188799557638,0.1613099768980389,0
0.5612092060910834,0.7789918609854509,1
0.14953765412091158,0.5560414354463141,0
0.06881539974795427,0.34937234001707834,1
0.1980640445071145,0.5037546433358555,0
0.3525640670639134,0.7215236206808993,1
0.13420440269429207,0.5542566984133662,0
0.3852826040153835,0.7397036867350351,1
0.052555330661333416,0.24332425652786718,0
0.7763766477518553,0.8883779143812884,1
0.09679559793995797,0.47050087420645526,0
0.222827404609047,0.20168935418050238,1
0.19892537071870173,0.18945396263822178,0
0.5138958034498051,0.7930212623531824,1
0.19455181302423133,0.0863155042422333,0
0.6533849343519802,0.8503360699466361,1
0.0749414072115682,0.4828109876565021,0
0.7047321659503231,0.8556711989462495,1
0.13330138602166103,0.10555024055586715,0
0.22261806556783179,0.2918734617365642,1
0.10919922108180773,0.17440168756004418,0
0.1929093282181898,0.5407330619006876,1
0.2089550620101435,0.5729755600255978,0
0.5753807589272739,0.8149031609873212,1
0.5723945631775782,0.057901400025883176,0
0.038905035493253644,0.25737713137363183,1
0.19837151768071443,0.2056387401608012,0
0.668434943260778,0.8638156038729583,1
0.09016732751964884,0.2095464549272997,0
0.3168811952597151,0.6737748575344116,1
0.08790363111536607,0.21641492462485287,0
0.4242882998313409,0.7495329122538295,1
0.08283596687584013,0.23903513417674835,0
0.3326790077867909,0.7128656311829024,1
0.11505164486608994,0.5259604737126831,0
0.7201595168372685,0.8806914412361153,1
0.14832946172314768,0.3882857767340896,0
0.25809407773729187,0.6655859747513692,1
0.22981651632005823,0.15798359039710905,0
0.1846739513722119,0.5929946174803024,1
0.05361076991913816,0.35720247482404793,0
0.32372305140642527,0.6930394742994556,1
0.09786482557597341,0.172643204016092,0
0.6433028469052244,0.8522536360176486,1
0.191930387877239,0.2359582525681181,0
0.5343694009779009,0.811474285324094,1
0.15818461732232966,0.1792968984979508,0
0.601100877929911,0.8456169431369054,1
0.23204178594036518,0.19153530138587804,0
0.48560233932213903,0.7833154916085118,1
0.13664189862822046,0.1409216740552373,0
0.5984832027244151,0.8378789281991832,1
0.1658012991270028,0.14813764993692863,0
0.5024585223838454,0.7820826644699644,1
0.14447622429735862,0.37610201819209504,0
0.37836348687475385,0.7151466040114902,1
0.10013669788971763,0.3418312127435106,0
0.06904886432216678,0.26630243354664423,1
0.3700992115412877,0.15336129073897345,0
0.05802881786636965,0.3938047054791485,1
0.06668892313117876,0.454417950311135,0
0.41165660317289526,0.7464479493850357,1
0.14081363275552589,0.14776864003430962,0
0.22522584353504194,0.568334234741725,1
0.9008680391244879,0.004335906071036019,0
0.3561732849394862,0.7182208755145285,1
0.055929879576830085,0.1849850496501314,0
0.5180693537260711,0.8005572818283805,1
0.08276581559748192,0.4050909791156409,0
0.43453489306977144,0.7563950049082258,1
0.600829353545856,0.09825492107502787,0
0.011739456018154076,0.3142352404027366,1
0.318239225934046,0.12541876259379953,0
0.3964073103264246,0.7400577587237407,1
0.15783909181106845,0.3457068370787535,0
0.1976136097900103,0.5123907108725332,1
0.08648890343643717,0.20033775504739657,0
0.583071750648177,0.831609072773757,1
0.21630081214905497,0.5907257037163817,0
0.3095363101884911,0.6954304938104423,1
0.33312642838241247,0.0979201848808935,0
0.5690206000616219,0.8262974624318052,1
0.07054341826067713,0.2368487708553625,0
0.5016800551119414,0.7837831380685016,1
0.07798061087345927,0.19137294638194863,0
0.253942148111471,0.6553311345418262,1
0.10070190801693378,0.14793042808436227,0
0.12076250798865687,0.2976818978838751,1
0.49198885530296754,0.04439363917783815,0
0.5697622264516655,0.8315131315713836,1
0.11246151864495083,0.34873500757197917,0
0.5347033286532186,0.813891186519984,1
0.08773080952867224,0.42705518184851055,0
0.40295307626349913,0.7454064812003847,1
0.1811711728361196,0.48972352992041757,0
0.17826382426927706,0.5586047255684757,1
0.0944135538961432,0.15086372432099474,0
0.16413353845592255,0.5775266816468784,1
0.2532198849600807,0.11084252221277778,0
0.0501053563623226,0.28465378279316317,1
0.14969676215717495,0.1096159448922317,0
0.5829824707977548,0.8221991836571912,1
0.6232954551862936,0.053943441524008845,0
0.3309197130547694,0.7116287485834557,1
0.6993628795755887,0.0605167030482953,0
0.3000384591912182,0.6878617978318369,1
0.3235138607578831,0.14598178142715126,0
